folder_name,centroid_distance,within_5A
7CUM_CLRA1006_with_B,12.400456395594594,False
7Y46_CLRC2108_with_D,33.14394211501273,False
7D92_CLRB501_with_A,21.73823461479878,False
9B37_CLRA1008_with_C,57.82894081970733,False
7D93_CLRE101_with_A,29.909438857309663,False
7CA3_CLRB901_with_A,11.78442776669571,False
8JD5_CLR2906_with_4,8.82136489654654,False
7WYY_CLRA1105_with_B,23.400471212520184,False
7D94_CLRG101_with_A,29.99452656498732,False
7Y46_CLRA2105_with_G,28.20593100112149,False
7WYY_CLRC1105_with_A,24.06308941722335,False
9DXS_CLRC1005_with_B,49.8586973319777,False
8KDH_CLRB601_with_A,22.94004156266277,False
7WYY_CLRG1301_with_E,8.815795241301647,False
7D93_CLRG101_with_A,31.336010736167324,False
7DDI_CLRA1111_with_D,31.39920326844557,False
7QTV_CLRE101_with_G,16.815501274653393,False
9B37_CLRA1007_with_D,91.65699018753044,False
8JD1_CLR31003_with_2,18.60634318609135,False
6V35_CLRH2306_with_D,5.4282736327599865,False
7D94_CLRE101_with_A,29.59366499214932,False
7D93_CLRA1111_with_D,29.99820464765456,False
7DDI_CLRE101_with_G,15.894516282460216,False
9DMT_CLRD503_with_C,1.0463807533116134,True
7DDK_CLRG101_with_C,43.62933652637942,False
7D93_CLRD501_with_C,22.08417588111159,False
9C3E_CLRY201_with_A,44.30475546289709,False
7D93_CLRA1111_with_C,29.76368854215079,False
4RET_CLRC2006_with_G,41.3225035936684,False
7WYS_CLRG101_with_C,33.25806014035626,False
7DDK_CLRB501_with_A,23.224922620779303,False
7WYY_CLRD502_with_B,42.34187425744258,False
7DDI_CLRC1104_with_B,30.271840540196077,False
8KDF_CLRB601_with_A,25.00606741755668,False
7CUM_CLRA1004_with_B,12.71411054590512,False
7CUM_CLRB903_with_A,12.818551376445525,False
7DDI_CLRA1111_with_C,29.61909986729941,False
9B36_CLRA1008_with_C,142.78394957813197,False
9DMT_CLRB503_with_C,37.494977759174326,False
7DDK_CLRE101_with_C,22.753594760654675,False
6L47_CLRA1002_with_B,18.81790432067974,False
7QTV_CLRA1103_with_C,31.51629626670831,False
9DXS_CLRD1001_with_A,51.7900333762107,False
7WYS_CLRC1104_with_B,24.04109988304071,False
7Y46_CLRA2106_with_B,22.84189578998339,False
7DDF_CLRG101_with_E,13.59586428781764,False
7D94_CLRD501_with_C,22.903593497673207,False
7WYS_CLRE101_with_C,24.06324320388674,False
7DDK_CLRA1104_with_B,22.04520447115339,False
7DDK_CLRC1104_with_A,22.231456871521747,False
7KY5_CLRA1702_with_B,21.403647272977096,False
9C3E_CLRG202_with_A,44.5243755320269,False
9DMT_CLRC501_with_D,60.267339868757006,False
9B36_CLRA1007_with_D,12.201553170141947,False
7Y46_CLRC2106_with_A,23.10457944509057,False
