source,canonical_id,original_id,min_max_label,percentile_label,threshold_label,average_score,number_atoms,score_std
gnn_exp4,box1337,sdf_2-piezo-graph-5A/unlabeled/box1337-filtered_combined_matrix.npy,PseudoPositive,StrongPositive,Positive,0.9086019003391266,40,0.0693098452328706
gnn_exp5,box1337,sdf_2-piezo-graph-5A/unlabeled/box1337-filtered_combined_matrix.npy,PseudoPositive,StrongPositive,Positive,0.8875489413738251,40,0.0826044304111465
gnn_exp1,box1352,sdf_2-piezo-graph-5A/unlabeled/box1352-filtered_combined_matrix.npy,PseudoPositive,StrongPositive,Positive,0.8514703541994095,48,0.1188655945453622
gat_exp4,box1359,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1359-filtered_graphs.npy,PseudoPositive,PseudoPositive,Positive,0.7996055734157562,31,0.1539702629620676
gnn_exp3,box1372,sdf_2-piezo-graph-5A/unlabeled/box1372-filtered_combined_matrix.npy,PseudoPositive,PseudoPositive,Positive,0.8226925230026245,56,0.135056629535577
gnn_exp5,box1373,sdf_2-piezo-graph-5A/unlabeled/box1373-filtered_combined_matrix.npy,PseudoPositive,PseudoPositive,Positive,0.7813726991415024,51,0.1613386288179648
gat_exp1,box1374,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1374-filtered_graphs.npy,PseudoPositive,PseudoPositive,Positive,0.880091341137886,31,0.1258898697000341
gat_exp2,box1374,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1374-filtered_graphs.npy,PseudoPositive,PseudoPositive,Positive,0.8545047351717949,31,0.1441805162839809
gat_exp3,box1374,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1374-filtered_graphs.npy,PseudoPositive,StrongPositive,Positive,0.9320363676548004,31,0.0755020265476387
gat_exp4,box1374,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1374-filtered_graphs.npy,PseudoPositive,StrongPositive,Positive,0.944395786523819,31,0.0590128853747015
gnn_exp1,box1388,sdf_2-piezo-graph-5A/unlabeled/box1388-filtered_combined_matrix.npy,PseudoPositive,PseudoPositive,Positive,0.8119264709949493,52,0.1388127538331562
gnn_exp2,box1388,sdf_2-piezo-graph-5A/unlabeled/box1388-filtered_combined_matrix.npy,PseudoPositive,PseudoPositive,Positive,0.830038822889328,52,0.1194959230256024
gnn_exp3,box1388,sdf_2-piezo-graph-5A/unlabeled/box1388-filtered_combined_matrix.npy,StrongPositive,StrongPositive,Positive,0.9480642771720886,52,0.0385768881462669
gnn_exp4,box1388,sdf_2-piezo-graph-5A/unlabeled/box1388-filtered_combined_matrix.npy,PseudoPositive,StrongPositive,Positive,0.9487127435207366,52,0.0378413692010457
gnn_exp5,box1388,sdf_2-piezo-graph-5A/unlabeled/box1388-filtered_combined_matrix.npy,PseudoPositive,PseudoPositive,Positive,0.803917927145958,52,0.1455378304264293
gnn_exp1,box1399,sdf_2-piezo-graph-5A/unlabeled/box1399-filtered_combined_matrix.npy,PseudoPositive,StrongPositive,Positive,0.8768607211112976,51,0.0900790503923981
gcn_exp1,box1400,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1400-filtered_graphs.npy,PseudoPositive,PseudoPositive,Positive,0.873289812207222,47,0.1299642727542824
gcn_exp5,box1400,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1400-filtered_graphs.npy,PseudoPositive,PseudoPositive,Positive,0.8761276170611382,47,0.1458744708400477
gnn_exp1,box1400,sdf_2-piezo-graph-5A/unlabeled/box1400-filtered_combined_matrix.npy,PseudoPositive,StrongPositive,Positive,0.8781058037281037,47,0.0823236144014202
gnn_exp2,box1400,sdf_2-piezo-graph-5A/unlabeled/box1400-filtered_combined_matrix.npy,PseudoPositive,PseudoPositive,Positive,0.8006940793991089,47,0.1081662397769997
gnn_exp3,box1400,sdf_2-piezo-graph-5A/unlabeled/box1400-filtered_combined_matrix.npy,PseudoPositive,PseudoPositive,Positive,0.8042161697149277,47,0.1463557052016381
