source,canonical_id,original_id,percentile_label,average_score,score_std,number_atoms
gnn_exp3,box3087,sdf_2-piezo-graph-5A/unlabeled/box3087-filtered_combined_matrix.npy,StrongPositive,0.888397707939148,0.0914433987429578,41
gnn_exp1,box3099,sdf_2-piezo-graph-5A/unlabeled/box3099-filtered_combined_matrix.npy,StrongPositive,0.8468301689624786,0.1451713994884426,45
gnn_exp1,box3110,sdf_2-piezo-graph-5A/unlabeled/box3110-filtered_combined_matrix.npy,StrongPositive,0.9653675758838652,0.0292115026736965,55
gnn_exp1,box3112,sdf_2-piezo-graph-5A/unlabeled/box3112-filtered_combined_matrix.npy,StrongPositive,0.8636900329589844,0.0950930605111019,50
gnn_exp1,box3116,sdf_2-piezo-graph-5A/unlabeled/box3116-filtered_combined_matrix.npy,StrongPositive,0.9816642332077028,0.0132078583317106,42
gnn_exp1,box3117,sdf_2-piezo-graph-5A/unlabeled/box3117-filtered_combined_matrix.npy,StrongPositive,0.8814200049638748,0.1030785918460633,50
gnn_exp3,box3122,sdf_2-piezo-graph-5A/unlabeled/box3122-filtered_combined_matrix.npy,StrongPositive,0.8837690329551697,0.1011499916014696,46
gnn_exp1,box3123,sdf_2-piezo-graph-5A/unlabeled/box3123-filtered_combined_matrix.npy,StrongPositive,0.8861820775270463,0.1198637859492923,53
gnn_exp1,box3125,sdf_2-piezo-graph-5A/unlabeled/box3125-filtered_combined_matrix.npy,StrongPositive,0.8735150849819183,0.0948335644551995,58
gnn_exp1,box3294,sdf_2-piezo-graph-5A/unlabeled/box3294-filtered_combined_matrix.npy,StrongPositive,0.8705381405353546,0.0833931900835707,44
gnn_exp1,box3308,sdf_2-piezo-graph-5A/unlabeled/box3308-filtered_combined_matrix.npy,StrongPositive,0.8636624050140381,0.083137869923238,36
gnn_exp3,box3309,sdf_2-piezo-graph-5A/unlabeled/box3309-filtered_combined_matrix.npy,StrongPositive,0.8962849688529968,0.0705144508272361,31
gnn_exp1,box3335,sdf_2-piezo-graph-5A/unlabeled/box3335-filtered_combined_matrix.npy,StrongPositive,0.8604946964979172,0.1018706783002225,47
gnn_exp1,box3407,sdf_2-piezo-graph-5A/unlabeled/box3407-filtered_combined_matrix.npy,StrongPositive,0.9381013798713684,0.0487853979783608,37
