model,filename,percentile_label,overlap,protein_id
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5AVU-f1-positive_combined_matrix.npy,StrongPositive,0.286,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5AVU-f3_combined_matrix.npy,StrongPositive,0.119,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5AVV-f1-positive_combined_matrix.npy,StrongPositive,0.237,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5AVV-f4-positive_combined_matrix.npy,PseudoPositive,0.24,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5AVW-f1-positive_combined_matrix.npy,PseudoPositive,0.278,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5AVX-f1-positive_combined_matrix.npy,StrongNegative,0.274,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5AVY-f1-positive_combined_matrix.npy,PseudoNegative,0.262,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5AVY-f2-positive_combined_matrix.npy,PseudoPositive,0.245,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5AVZ-f1-positive_combined_matrix.npy,PseudoPositive,0.24,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5AVZ-f2-positive_combined_matrix.npy,StrongPositive,0.255,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5AW0-f1-positive_combined_matrix.npy,StrongNegative,0.214,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5AW0-f4_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5AW1-f1-positive_combined_matrix.npy,StrongPositive,0.226,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5AW1-f5_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5AW2-f1-positive_combined_matrix.npy,StrongPositive,0.254,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5AW2-f2-positive_combined_matrix.npy,PseudoPositive,0.24,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5AW3-f1-positive_combined_matrix.npy,PseudoPositive,0.222,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5AW4-f1-positive_combined_matrix.npy,PseudoNegative,0.26,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5AW5-f1-positive_combined_matrix.npy,StrongNegative,0.232,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5AW7-f1-positive_combined_matrix.npy,StrongNegative,0.214,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5AW7-f2-positive_combined_matrix.npy,StrongPositive,0.237,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5AW8-f1-positive_combined_matrix.npy,StrongNegative,0.236,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5AW8-f5_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5AW9-f1-positive_combined_matrix.npy,StrongNegative,0.2,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5AW9-f4-positive_combined_matrix.npy,PseudoPositive,0.254,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5D5A-f3-positive_combined_matrix.npy,StrongPositive,0.25,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5D5A-f5-positive_combined_matrix.npy,StrongNegative,0.22,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5D6L-f2-positive_combined_matrix.npy,StrongPositive,0.267,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5D6L-f4-positive_combined_matrix.npy,StrongPositive,0.296,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5I6X-f4_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5I71-f5_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5I73-f1_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5I75-f3_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5IU7-f4_combined_matrix.npy,StrongNegative,0.031,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5IUA-f1_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5IUA-f3_combined_matrix.npy,StrongNegative,0.129,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5JTB-f1_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5JTB-f2-positive_combined_matrix.npy,StrongNegative,0.222,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5K2A-f1-positive_combined_matrix.npy,StrongNegative,0.238,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5K2B-f2_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5K2C-f5_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5L7D-f3_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5MZJ-f2_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5MZP-f1-positive_combined_matrix.npy,StrongPositive,0.302,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5MZP-f2-positive_combined_matrix.npy,StrongNegative,0.205,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5N2R-f3-positive_combined_matrix.npy,StrongNegative,0.213,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5NLX-f3-positive_combined_matrix.npy,StrongPositive,0.366,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5NLX-f4_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5NM2-f1_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5NM2-f3_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5NM2-f5_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5NM4-f3-positive_combined_matrix.npy,PseudoPositive,0.306,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5OLG-f4_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5OLH-f1_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5OLO-f2-positive_combined_matrix.npy,StrongNegative,0.25,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5OLV-f1-positive_combined_matrix.npy,PseudoPositive,0.255,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5OLZ-f1-positive_combined_matrix.npy,StrongPositive,0.283,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5OLZ-f3-positive_combined_matrix.npy,StrongNegative,0.3,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5OLZ-f5-positive_combined_matrix.npy,StrongNegative,0.205,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5OM1-f3_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5OM1-f4_combined_matrix.npy,StrongNegative,0.042,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5OM1-f5-positive_combined_matrix.npy,StrongNegative,0.278,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5OM4-f1_combined_matrix.npy,StrongNegative,0.067,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5OM4-f5_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5TVN-f1_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5UPH-f1_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5UPH-f4_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5WVR-f1_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5X7D-f4_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5X93-f1_combined_matrix.npy,StrongNegative,0.014,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5XR8-f4_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5XRA-f1_combined_matrix.npy,StrongNegative,0.073,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5ZM5-f4_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/5ZM7-f3_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6A15-f1_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6A15-f3_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6A93-f4_combined_matrix.npy,StrongNegative,0.107,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6AQF-f2-positive_combined_matrix.npy,StrongNegative,0.255,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6B73-f2_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6BHU-f3-positive_combined_matrix.npy,PseudoPositive,0.37,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6BHU-f4-positive_combined_matrix.npy,StrongPositive,0.348,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6CO7-f2_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6CO7-f3_combined_matrix.npy,StrongNegative,0.0,
